"A6NDU8"	0	0	0	0	0	0	0	0	0	0	0	0	3163	2641	0	3290	3483	3025	3618	2724	2981	2997	3082	4015	2918	2979	2938	2109	3228	2514	2815	2958	0	0	5033	5535	3178	3673	3183	3994	2555	6617	5584	4092	3862	9360	8032	8948	8919	3685	3948	0	11219	14659	5705	17297	17839	7090	4846	3300	4334	7799	5219	3080	5678	2593	0	2660	2191	2533	2231	0	1906	2824	0	1927	1668	2130	1080	0	0
"A6NED2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3868	3765	0	1970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2578	0	2824	3165	2924	4937	11322	10873	12020	8227	5951	8206	16855	19860	18013	19711	13073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A6NHR9"	0	981	6860	19206	17899	17392	18274	33127	47123	75759	134722	248320	506367	550563	338797	231014	148479	71759	45005	30147	31002	22773	11186	23724	16997	21135	3357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A6NIH7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4525	5547	4176	1931	4586	1002	1569	10689	93859	179765	229446	220530	171143	74626	7806	8586	742	4674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A6NKD9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1065	1087	5050	16323	16414	19859	24904	21178	25518	22462	19146	17585	7604	1615	3951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A6NL28"	0	0	822	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	0	520	0	0	1080	9366	12019	21708	26740	29359	39135	57122	150717	584653	921305	736251	302501	126715	64080	36060	31897	15147	24779	17477	0	0	2033	2309	1404	1364	0	0	1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13347	0	0	0	0	0	0	0	0	0
"A7E2V4"	1063	5185	12417	15683	13481	7038	6619	7689	2011	5568	5998	5523	2134	4036	1443	2072	0	1886	0	0	602	0	1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A8K7I4"	0	0	0	0	0	0	0	12772	42966	24656	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5186	0	0	0	0	0	8850	8926	9136	32192	9071	5145	0	4863	2580	0	45929	0	62738
"A8MXV4"	0	0	1142	1202	0	963	0	0	0	0	943	0	0	0	0	0	0	502	0	0	0	0	0	0	0	0	722	52710	94256	0	36921	0	0	0	0	0	2126	15793	2519	1729	0	0	0	0	0	0	0	2740	4418	4978	20510	22642	22329	61480	61246	187766	1003864	2060161	2120369	774269	451571	230907	58539	20857	12651	1888	1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A9UHW6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6984	0	0	0	4341	16115	24222	21164	14848	6424	4149	0	2555	2357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0
